PSize;PSize2;OD;OD2;A;C;D;E;Conn
DN15;DN15;21.34;21.34;25.5;4.1;15;15.5;SW
DN20;DN20;26.67;26.67;32.5;4.25;20.2;19.5;SW
DN25;DN25;33.4;33.4;35;5;25.9;22;SW
DN32;DN25;42.16;33.4;40;5.3;34.3;27;SW
DN32;DN32;42.16;42.16;40;5.3;34.3;27;SW
DN40;DN25;48.26;33.4;45;5.55;40.1;32;SW
DN40;DN32;48.26;42.16;45;5.55;40.1;32;SW
DN40;DN40;48.26;48.26;45;5.55;40.1;32;SW
DN50;DN25;60.32;33.4;54;6.05;51.7;38;SW
DN50;DN32;60.32;42.16;54;6.05;51.7;38;SW
DN50;DN40;60.32;48.26;54;6.05;51.7;38;SW
DN50;DN50;60.32;60.32;54;6.05;51.7;38;SW
DN65;DN25;73.02;33.4;57.5;7.65;61.2;41.5;SW
DN65;DN32;73.02;42.16;57.5;7.65;61.2;41.5;SW
DN65;DN40;73.02;48.26;57.5;7.65;61.2;41.5;SW
DN65;DN50;73.02;60.32;57.5;7.65;61.2;41.5;SW
DN65;DN65;73.02;73.02;57.5;7.65;61.2;41.5;SW
DN80;DN32;88.9;42.16;73.5;8.3;80;57.5;SW
DN80;DN40;88.9;48.26;73.5;8.3;80;57.5;SW
DN80;DN50;88.9;60.32;73.5;8.3;80;57.5;SW
DN80;DN80;88.9;88.9;73.5;8.3;80;57.5;SW
DN100;DN100;114.3;114.3;85.5;9.35;100.7;66.5;SW
DN100;DN40;114.3;48.26;85.5;9.35;100.7;66.5;SW
DN100;DN50;114.3;60.32;85.5;9.35;100.7;66.5;SW
DN20;DN15;26.67;21.34;32.5;4.25;20.2;19.5;SW
DN25;DN20;33.4;26.67;35;5;25.9;22;SW
DN25;DN15;33.4;21.34;35;5;25.9;22;SW
DN32;DN20;42.16;26.67;40;5.3;34.3;27;SW
DN32;DN15;42.16;21.34;40;5.3;34.3;27;SW
DN40;DN25;48.26;33.4;45;5.55;40.1;32;SW
DN40;DN20;48.26;26.67;45;5.55;40.1;32;SW
DN50;DN20;60.32;26.67;54;6.05;51.7;38;SW
DN50;DN15;60.32;21.34;54;6.05;51.7;38;SW
DN100;DN80;114.3;88.9;85.5;9.35;100.7;66.5;SW
