PSize;OD;BendAngle;A;C;D;E;G;Conn
DN15;21.34;90;25.5;4.1;15;15.5;3.75;SW
DN20;26.67;90;32.5;4.25;20.2;19.5;3.9;SW
DN25;33.4;90;35;5;25.9;22;4.55;SW
DN32;42.16;90;40;5.3;34.3;27;4.85;SW
DN40;48.26;90;45;5.55;40.1;32;5.1;SW
DN50;60.32;90;54;6.05;51.7;38;5.55;SW
DN65;73.02;90;57.5;7.65;61.2;41.5;7;SW
DN80;88.9;90;73.5;8.3;80;57.5;7.6;SW
DN100;114.3;90;85.5;9.35;100.7;66.5;8.55;SW
DN15;21.34;45;25.5;4.1;15;11.5;3.75;SW
DN20;26.67;45;32.5;4.25;20.2;12.5;3.9;SW
DN25;33.4;45;35;5;25.9;14;4.55;SW
DN32;42.16;45;40;5.3;34.3;17;4.85;SW
DN40;48.26;45;45;5.55;40.1;21;5.1;SW
DN50;60.32;45;54;6.05;51.7;25;5.55;SW
DN65;73.02;45;57.5;7.65;61.2;29;7;SW
DN80;88.9;45;73.5;8.3;80;31.5;7.6;SW
DN100;114.3;45;85.5;9.35;100.7;41.5;8.55;SW
